[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:14,312 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:15,479 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:15,893 INFO [main][GenericScope.java:294] - BeanFactory id=33c68227-122c-36dd-8028-a36de4f592a4
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,036 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e3b04d1f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,522 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,541 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,563 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,564 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,572 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_291\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\java\Maven\apache-maven-3.6.3\bin;%MYSQL_HOME%\bin;C:\Program Files\Java\jdk1.8.0_291\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Users\12715\AppData\Local\Microsoft\WindowsApps;;.]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,719 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,720 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 2394 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,832 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,832 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:16,859 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@27755487
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:17,996 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:18,083 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:18,083 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:18,222 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:18,222 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:18,546 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:18,546 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:18,804 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:19,760 INFO [main][InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:19,791 INFO [main][DiscoveryClient.java:349] - Initializing Eureka in region us-east-1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:19,791 INFO [main][DiscoveryClient.java:352] - Client configured to neither register nor query for data.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:19,801 INFO [main][DiscoveryClient.java:365] - Discovery Client initialized at timestamp 1634120959798 with initial instances count: 0
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:19,832 INFO [main][DefaultEurekaServerContext.java:63] - Initializing ...
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:19,834 INFO [main][PeerEurekaNodes.java:188] - Adding new peer nodes [http://localhost:53000/eureka/]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,275 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,276 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,276 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,276 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,367 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,374 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,375 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 18:29:20,384 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
